Question,Option1,Option2,Option3,Option4,CorrectIndex
"Which drug is a selective COX-2 inhibitor?",Aspirin,Celecoxib,Ibuprofen,Naproxen,1
"What is the mechanism of action of ACE inhibitors?",Block calcium channels,Inhibit angiotensin converting enzyme,Block beta receptors,Inhibit sodium channels,1
"Which antibiotic inhibits protein synthesis by binding to 30S ribosomal subunit?",Penicillin,Streptomycin,Vancomycin,Metronidazole,1
"What is the antidote for warfarin overdose?",Protamine sulfate,Vitamin K,Naloxone,Flumazenil,1
"Which drug is used to treat opioid overdose?",Flumazenil,Naloxone,Atropine,Epinephrine,1
"What class of drug is metformin?",Sulfonylurea,Biguanide,Thiazolidinedione,Alpha-glucosidase inhibitor,1
"Which neurotransmitter is primarily affected by SSRIs?",Dopamine,Serotonin,Norepinephrine,GABA,1
"What is the primary site of action for loop diuretics?",Distal convoluted tubule,Thick ascending limb of loop of Henle,Collecting duct,Proximal tubule,1
"Which drug is contraindicated in patients with G6PD deficiency?",Penicillin,Primaquine,Metformin,Aspirin,1
"What is the mechanism of action of omeprazole?",H2 receptor antagonist,Proton pump inhibitor,Antacid,Prostaglandin analog,1
"Which drug can cause ototoxicity and nephrotoxicity?",Penicillin,Gentamicin,Metronidazole,Chloramphenicol,1
"What is the first-line treatment for mild to moderate hypertension?",Beta blockers,ACE inhibitors or ARBs,Calcium channel blockers,Diuretics,1
"Which drug is used to treat hyperthyroidism?",Levothyroxine,Methimazole,Prednisolone,Insulin,1
"What is the antidote for benzodiazepine overdose?",Naloxone,Flumazenil,Atropine,Physostigmine,1
"Which anticoagulant directly inhibits thrombin?",Warfarin,Dabigatran,Heparin,Aspirin,1
"What is the mechanism of action of digoxin?",Calcium channel blocker,Na+/K+ ATPase inhibitor,Beta blocker,ACE inhibitor,1
"Which drug is used to treat Parkinson's disease?",Haloperidol,Levodopa,Phenytoin,Carbamazepine,1
"What class of drug is amlodipine?",Beta blocker,Calcium channel blocker,ACE inhibitor,Diuretic,1
"Which drug can cause tardive dyskinesia?",Levodopa,Haloperidol,Phenytoin,Lithium,1
