Question,Option1,Option2,Option3,Option4,CorrectIndex
"Which alkaloid is the main active constituent of Cinchona bark?",Morphine,Quinine,Caffeine,Atropine,1
"What is the botanical source of digitalis?",Digitalis purpurea,Atropa belladonna,Papaver somniferum,Cinchona officinalis,0
"Which plant family does Aloe vera belong to?",Solanaceae,Asphodelaceae,Rubiaceae,Papaveraceae,1
"What is the active principle in Ephedra species?",Cocaine,Ephedrine,Morphine,Quinine,1
"Which part of the Senna plant is used medicinally?",Root,Bark,Leaves,Flowers,2
"What type of glycoside is present in Digitalis?",Saponin glycoside,Cardiac glycoside,Anthraquinone glycoside,Cyanogenic glycoside,1
"Which alkaloid is found in Atropa belladonna?",Morphine,Atropine,Cocaine,Caffeine,1
"What is the botanical name of Indian hemp?",Cannabis sativa,Papaver somniferum,Erythroxylum coca,Atropa belladonna,0
"Which volatile oil is obtained from Eucalyptus leaves?",Menthol,Eucalyptol,Camphor,Thymol,1
"What is the main constituent of opium?",Cocaine,Morphine,Codeine,Papaverine,1
"Which plant is the source of cocaine?",Papaver somniferum,Erythroxylum coca,Cannabis sativa,Atropa belladonna,1
"What type of compound is menthol?",Alkaloid,Terpene,Glycoside,Tannin,1
"Which plant family does ginger belong to?",Solanaceae,Zingiberaceae,Lamiaceae,Apiaceae,1
"What is the active constituent of turmeric?",Gingerol,Curcumin,Capsaicin,Piperine,1
"Which part of Cinchona is used for quinine extraction?",Leaves,Bark,Root,Flowers,1
"What is the botanical source of black pepper?",Capsicum annuum,Piper nigrum,Zingiber officinale,Curcuma longa,1
"Which alkaloid is present in tea leaves?",Morphine,Caffeine,Theobromine,Theophylline,1
"What is the main active constituent of garlic?",Capsaicin,Allicin,Gingerol,Curcumin,1
"Which plant is the source of taxol?",Catharanthus roseus,Taxus brevifolia,Digitalis purpurea,Rauwolfia serpentina,1
"What type of secondary metabolite is tannin?",Alkaloid,Polyphenol,Glycoside,Terpene,1
"Which plant family does mint belong to?",Apiaceae,Lamiaceae,Solanaceae,Zingiberaceae,1
"What is the botanical name of aloe?",Aloe barbadensis,Digitalis purpurea,Atropa belladonna,Cinchona officinalis,0
"Which alkaloid is found in coffee beans?",Theobromine,Caffeine,Theophylline,Nicotine,1
"What is the active principle in capsicum?",Gingerol,Capsaicin,Piperine,Allicin,1
"Which plant is the source of reserpine?",Digitalis purpurea,Rauwolfia serpentina,Catharanthus roseus,Atropa belladonna,1
"What type of compound is saponin?",Alkaloid,Glycoside,Terpene,Tannin,1
"Which part of the ginseng plant is used medicinally?",Leaves,Root,Bark,Flowers,1
"What is the botanical source of vanilla?",Vanilla planifolia,Cinnamomum verum,Myristica fragrans,Syzygium aromaticum,0
"Which alkaloid is present in tobacco?",Cocaine,Nicotine,Morphine,Atropine,1
"What is the main constituent of cinnamon bark?",Eugenol,Cinnamaldehyde,Menthol,Camphor,1
"Which plant family does foxglove belong to?",Solanaceae,Plantaginaceae,Rubiaceae,Papaveraceae,1
"What is the active principle in willow bark?",Aspirin,Salicin,Quinine,Morphine,1
"Which alkaloid is found in cocoa beans?",Caffeine,Theobromine,Theophylline,Nicotine,1
"What is the botanical name of Indian snakeroot?",Catharanthus roseus,Rauwolfia serpentina,Digitalis purpurea,Atropa belladonna,1
"Which part of the licorice plant is used medicinally?",Leaves,Root,Bark,Flowers,1
"What type of compound is glycyrrhizin?",Alkaloid,Saponin glycoside,Tannin,Volatile oil,1
"Which plant is the source of vincristine?",Rauwolfia serpentina,Catharanthus roseus,Digitalis purpurea,Taxus brevifolia,1
"What is the main constituent of clove oil?",Cinnamaldehyde,Eugenol,Menthol,Camphor,1
"Which alkaloid is present in ergot?",Morphine,Ergotamine,Cocaine,Atropine,1
"What is the botanical source of St. John's wort?",Digitalis purpurea,Hypericum perforatum,Atropa belladonna,Rauwolfia serpentina,1
"Which compound gives turmeric its yellow color?",Gingerol,Curcumin,Capsaicin,Piperine,1
"What is the active principle in ginkgo leaves?",Morphine,Ginkgolides,Quinine,Atropine,1
"Which plant family does cardamom belong to?",Lamiaceae,Zingiberaceae,Apiaceae,Solanaceae,1
"What type of compound is anthocyanin?",Alkaloid,Flavonoid,Terpene,Saponin,1
"Which part of the neem tree is most commonly used?",Root,Leaves,Bark,Flowers,1
"What is the botanical name of Indian gooseberry?",Terminalia chebula,Phyllanthus emblica,Terminalia bellirica,Withania somnifera,1
"Which alkaloid is found in periwinkle?",Morphine,Vincristine,Cocaine,Atropine,1
"What is the main constituent of nutmeg?",Eugenol,Myristicin,Cinnamaldehyde,Menthol,1
"Which plant is the source of artemisinin?",Cinchona officinalis,Artemisia annua,Digitalis purpurea,Rauwolfia serpentina,1
"What type of secondary metabolite is curcumin?",Alkaloid,Polyphenol,Glycoside,Terpene,1


